cpu0,cpu1,cpu2,cpu3,memory_used,memory_percent,timestamp
11.1,95.9,6.0,13.1,2873495552,37.0,1747364895.76509
4.1,96.0,10.0,17.6,2873491456,37.0,1747364896.76649
18.4,90.2,9.1,3.0,2872971264,36.9,1747364897.768079
21.6,96.0,6.1,1.0,2873221120,36.9,1747364898.769254
45.0,67.0,11.9,5.1,2873991168,37.0,1747364899.771299
43.0,65.0,10.3,6.9,2872532992,36.9,1747364900.772443
14.1,96.0,13.0,9.0,2872266752,36.9,1747364901.773653
16.0,97.0,1.0,7.0,2872008704,36.9,1747364902.774983
8.9,63.0,8.8,40.4,2871992320,36.9,1747364903.776302
10.2,65.3,13.1,42.4,2872238080,36.9,1747364904.777404
8.1,60.0,5.0,47.0,2872229888,36.9,1747364905.778542
9.4,65.3,13.0,42.4,2873266176,36.9,1747364906.779652
16.2,7.8,10.9,90.1,2872750080,36.9,1747364907.7824
23.5,84.5,5.1,7.0,2872991744,36.9,1747364908.783462
28.0,77.2,16.0,10.1,2872737792,36.9,1747364909.785051
12.0,31.6,66.7,6.2,2872729600,36.9,1747364910.786357
14.0,90.2,18.2,11.9,2873761792,37.0,1747364911.787449
13.1,96.0,12.0,5.1,2873008128,36.9,1747364912.788421
23.0,17.6,9.0,66.0,2872971264,36.9,1747364913.789568
13.9,5.1,16.3,95.0,2873217024,36.9,1747364914.790818
13.1,4.0,15.0,96.0,2872963072,36.9,1747364915.792068
16.3,11.9,43.6,55.4,2873479168,37.0,1747364916.793346
38.4,7.9,9.2,71.7,2873692160,37.0,1747364917.794648
16.8,7.0,10.2,91.1,2873470976,37.0,1747364918.795885
13.0,9.2,8.8,96.0,2873208832,36.9,1747364919.797133
90.1,7.0,14.3,14.1,2873454592,37.0,1747364920.798432
96.0,8.1,10.5,15.0,2873970688,37.0,1747364921.800206
94.9,5.0,11.8,11.2,2873683968,37.0,1747364922.801876
96.0,5.1,9.2,12.0,2873937920,37.0,1747364923.803388
66.0,9.9,10.2,48.0,2874449920,37.0,1747364924.804921
3.0,10.3,14.3,96.0,2873667584,37.0,1747364925.806504
4.0,15.0,15.2,95.1,2874183680,37.0,1747364926.808689
4.0,6.1,12.1,95.9,2873139200,36.9,1747364927.810271
4.0,13.1,17.8,96.0,2873122816,36.9,1747364928.81156
4.1,12.1,16.3,96.0,2873135104,36.9,1747364929.812772
4.0,5.2,14.9,96.0,2872872960,36.9,1747364930.813918
9.1,12.9,15.0,95.0,2874142720,37.0,1747364931.815361
6.0,9.1,12.4,96.0,2874142720,37.0,1747364932.816528
4.0,54.1,11.1,47.0,2874138624,37.0,1747364933.817616
53.0,53.0,15.5,6.2,2874138624,37.0,1747364934.818731
37.4,5.1,20.0,62.4,2873880576,37.0,1747364935.819966
5.0,6.1,19.0,95.9,2874654720,37.0,1747364936.821102
5.1,4.1,21.0,96.0,2874630144,37.0,1747364937.822214
3.0,63.0,31.3,38.4,2873597952,37.0,1747364938.82324
10.0,95.0,16.3,9.1,2874363904,37.0,1747364939.824287
8.9,96.0,15.0,6.2,2874093568,37.0,1747364940.826813
14.3,96.0,2.1,14.6,2873835520,37.0,1747364941.827986
19.2,93.0,5.0,6.1,2872385536,36.9,1747364942.829078
18.2,96.0,2.0,7.9,2872635392,36.9,1747364943.830184
14.0,97.0,8.1,6.1,2874437632,37.0,1747364944.831235
19.2,95.0,3.1,9.9,2874441728,37.0,1747364945.832308
21.2,96.0,11.0,4.0,2874699776,37.0,1747364946.833366
11.0,94.9,9.2,6.0,2874167296,37.0,1747364947.834553
35.0,67.0,10.1,13.1,2874159104,37.0,1747364948.835668
18.0,96.0,12.0,7.0,2874654720,37.0,1747364949.836708
12.1,97.0,10.9,2.0,2873884672,37.0,1747364950.838074
19.2,96.0,9.2,5.1,2874400768,37.0,1747364951.83974
1.0,95.0,12.0,13.1,2873868288,37.0,1747364952.841611
7.1,94.9,10.1,11.1,2873872384,37.0,1747364953.842901
12.4,97.0,10.1,12.0,2873856000,37.0,1747364954.844106
9.9,56.4,42.4,16.8,2873081856,36.9,1747364955.845394
14.1,85.9,15.2,16.0,2873602048,37.0,1747364956.846994
14.0,2.1,96.0,12.0,2872553472,36.9,1747364957.84814
40.4,21.0,41.0,15.0,2872549376,36.9,1747364958.850995
61.0,31.0,10.1,28.3,2872283136,36.9,1747364959.852554
61.9,15.0,9.2,41.0,2872799232,36.9,1747364960.8541
