cpu0,cpu1,cpu2,cpu3,memory_used,memory_percent,timestamp
9.0,96.0,3.1,13.1,4041744384,51.2,1747376542.257237
12.7,95.0,13.3,16.2,4042780672,51.2,1747376543.258789
3.1,96.0,15.8,13.1,4042776576,51.2,1747376544.260053
3.0,95.1,9.2,16.3,4042764288,51.2,1747376545.261346
4.1,96.0,21.2,15.7,4042248192,51.2,1747376546.262677
4.1,79.2,17.0,31.3,4042244096,51.2,1747376547.263796
4.1,19.8,9.0,95.0,4042760192,51.2,1747376548.265684
7.2,22.2,10.1,86.3,4042989568,51.2,1747376549.270277
2.0,50.5,14.3,56.6,4042989568,51.2,1747376550.271798
14.1,96.0,11.1,10.0,4044042240,51.2,1747376551.27291
11.3,96.0,13.6,8.1,4043259904,51.2,1747376552.2744
14.1,95.0,8.2,9.1,4044300288,51.2,1747376553.276132
12.4,95.0,11.1,12.0,4044537856,51.2,1747376554.277315
16.2,96.0,10.0,7.1,4043776000,51.2,1747376555.278795
16.2,94.9,11.0,9.0,4042276864,51.2,1747376556.280533
18.2,86.0,10.9,14.3,4041965568,51.2,1747376557.282167
9.4,96.0,5.1,19.2,4042219520,51.2,1747376558.283892
5.3,96.0,14.1,5.0,4039909376,51.2,1747376559.285073
8.2,95.1,13.3,7.1,4039872512,51.2,1747376560.286164
19.2,85.0,18.4,13.5,4037464064,51.1,1747376561.287286
67.3,5.2,30.7,18.0,4036513792,51.1,1747376562.288412
95.0,13.0,12.4,10.0,4037029888,51.1,1747376563.289618
94.9,9.0,13.3,9.1,4036509696,51.1,1747376564.291361
96.0,5.2,17.3,6.0,4036747264,51.1,1747376565.292932
17.2,51.0,16.0,49.0,4038156288,51.1,1747376566.294484
13.0,95.0,12.2,3.0,4038045696,51.1,1747376567.298524
13.9,95.9,10.3,13.0,4038541312,51.1,1747376568.300507
13.0,94.9,12.7,9.1,4036997120,51.1,1747376569.302115
11.1,95.1,7.3,5.0,4036988928,51.1,1747376570.303661
13.0,95.9,16.8,12.1,4036714496,51.1,1747376571.305134
12.1,95.0,14.0,9.0,4036968448,51.1,1747376572.306942
14.9,96.0,5.0,11.1,4036435968,51.1,1747376573.308626
12.0,96.0,10.1,9.3,4035670016,51.1,1747376574.309778
29.3,87.1,4.2,12.9,4023177216,51.0,1747376575.310867
20.2,86.9,9.3,10.9,4023435264,51.0,1747376576.312051
15.3,45.5,11.2,58.0,4023291904,51.0,1747376577.313156
17.3,14.0,7.1,85.0,4020617216,50.9,1747376578.314406
95.9,4.0,17.7,4.1,4020563968,50.9,1747376579.315547
95.0,6.1,15.2,8.2,4020555776,50.9,1747376580.316723
96.0,4.0,14.1,17.8,4020293632,50.9,1747376581.318004
95.0,8.1,16.0,14.3,4020772864,50.9,1747376582.319352
95.0,8.9,14.4,12.9,4021051392,50.9,1747376583.320683
96.0,0.0,9.3,12.0,4021051392,50.9,1747376584.321962
95.0,9.1,10.2,16.0,4021051392,50.9,1747376585.322999
96.9,13.0,10.3,13.1,4021305344,50.9,1747376586.324405
83.2,5.0,15.7,26.0,4022075392,50.9,1747376587.330266
12.0,4.0,13.5,96.0,4022333440,50.9,1747376588.331743
13.0,3.1,17.2,95.0,4021293056,50.9,1747376589.333166
12.9,4.0,11.0,96.0,4021293056,50.9,1747376590.334478
12.2,11.0,13.4,95.0,4021538816,50.9,1747376591.335709
15.0,8.2,11.1,92.9,4021276672,50.9,1747376592.337672
96.0,8.2,8.2,12.0,4020756480,50.9,1747376593.338935
41.0,10.0,12.9,66.3,4020494336,50.9,1747376594.341623
15.2,3.0,9.2,95.0,4020482048,50.9,1747376595.343573
14.0,9.2,15.0,97.0,4020699136,50.9,1747376596.344794
14.9,13.1,13.1,94.9,4020277248,50.9,1747376597.3465
11.0,9.2,3.1,95.0,4020211712,50.9,1747376598.347741
12.1,11.2,8.2,95.0,4020178944,50.9,1747376599.348996
12.9,15.0,5.0,96.0,4019396608,50.9,1747376600.350128
13.0,9.4,8.9,96.0,4019421184,50.9,1747376601.351214
13.1,18.6,6.2,96.0,4018458624,50.9,1747376602.353577
17.2,10.2,7.0,90.9,4018401280,50.9,1747376603.355247
95.1,8.2,14.7,0.0,4018913280,50.9,1747376604.356623
21.0,11.0,19.2,80.0,4018888704,50.9,1747376605.357799
2.0,8.3,17.3,96.0,4018888704,50.9,1747376606.358971
10.1,10.1,19.0,95.0,4018479104,50.9,1747376607.36021
17.5,4.0,11.3,96.0,4018372608,50.9,1747376608.361434
8.1,7.1,11.9,96.0,4018356224,50.9,1747376609.362613
8.1,13.9,9.2,96.0,4018352128,50.9,1747376610.363654
13.1,30.0,10.4,78.6,4019126272,50.9,1747376611.364833
17.2,95.0,12.4,3.0,4020625408,50.9,1747376612.36592
50.5,65.7,5.1,6.1,4019646464,50.9,1747376613.369871
82.0,31.0,4.1,9.0,4019892224,50.9,1747376614.371247
1.0,72.4,41.0,7.2,4019888128,50.9,1747376615.372496
59.6,23.2,35.4,13.1,4020146176,50.9,1747376616.373796
94.9,15.7,7.2,15.3,4020396032,50.9,1747376617.375375
