cpu0,cpu1,cpu2,cpu3,memory_used,memory_percent,timestamp
4.0,11.0,14.9,2.1,3424890880,43.7,1747368504.923459
6.1,6.1,23.0,6.0,3424370688,43.7,1747368505.924395
15.3,8.9,1.0,1.0,3424370688,43.7,1747368506.925321
0.0,0.0,11.9,3.0,3424370688,43.7,1747368507.926366
0.0,5.1,11.9,1.0,3424370688,43.7,1747368508.927368
4.0,7.0,3.1,12.1,3425394688,43.7,1747368509.928311
4.0,2.0,4.0,14.7,3427172352,43.7,1747368510.930232
3.1,11.1,13.9,3.0,3426680832,43.7,1747368511.931513
6.9,4.0,12.0,3.0,3425632256,43.7,1747368512.932431
10.9,1.0,2.0,2.0,3425628160,43.7,1747368513.933341
6.1,6.0,19.0,8.0,3426148352,43.7,1747368514.934315
4.0,12.0,5.1,3.0,3427696640,43.7,1747368515.935233
6.1,18.2,4.1,9.1,3427164160,43.7,1747368516.93636
4.0,11.9,5.9,11.8,3428192256,43.7,1747368517.93742
1.0,10.0,1.0,0.0,3428175872,43.7,1747368518.93841
3.0,16.0,2.0,3.0,3429466112,43.7,1747368519.939349
6.0,16.3,2.0,3.0,3429711872,43.7,1747368520.940269
11.1,0.0,2.0,2.0,3429453824,43.7,1747368521.941904
10.2,9.0,1.0,2.0,3429449728,43.7,1747368522.943085
11.9,5.0,2.0,3.0,3429543936,43.7,1747368523.943994
2.0,1.0,10.1,7.0,3430014976,43.7,1747368524.944905
6.1,6.1,14.7,3.0,3428253696,43.7,1747368525.945835
13.7,7.0,1.0,6.1,3427373056,43.7,1747368526.946781
1.0,1.0,3.9,18.8,3427360768,43.7,1747368527.94769
1.0,7.0,1.0,11.0,3427360768,43.7,1747368528.948875
2.0,4.0,4.0,10.0,3428134912,43.7,1747368529.949887
3.0,7.1,3.1,14.0,3428397056,43.7,1747368530.950904
2.0,7.0,2.0,10.1,3428118528,43.7,1747368531.951939
0.0,2.0,3.0,10.9,3428114432,43.7,1747368532.953633
3.0,7.9,3.0,13.0,3428114432,43.7,1747368533.954889
1.0,2.0,3.0,17.2,3428089856,43.7,1747368534.955816
3.0,6.0,4.0,11.0,3428347904,43.7,1747368535.95674
3.0,1.0,3.0,17.2,3427852288,43.7,1747368536.957705
9.2,1.0,1.0,6.1,3427852288,43.7,1747368537.958648
2.0,10.0,2.0,7.0,3427835904,43.7,1747368538.960043
5.0,3.0,3.0,16.7,3427586048,43.7,1747368539.961098
4.0,4.0,3.0,17.0,3427581952,43.7,1747368540.962178
2.0,0.0,3.0,10.0,3427577856,43.7,1747368541.963223
3.0,1.0,2.0,16.0,3427565568,43.7,1747368542.964272
0.0,0.0,3.0,13.6,3427561472,43.7,1747368543.966651
5.1,2.0,1.0,19.2,3427827712,43.7,1747368544.968316
9.0,3.0,3.0,15.8,3428085760,43.7,1747368545.969354
3.9,2.0,2.0,12.1,3427311616,43.7,1747368546.970388
7.1,1.0,1.0,9.1,3427311616,43.7,1747368547.971357
5.2,2.0,3.0,9.1,3426795520,43.7,1747368548.972279
4.0,3.1,8.9,16.8,3425779712,43.7,1747368549.973192
8.1,4.0,6.1,11.1,3418296320,43.6,1747368550.974156
6.1,3.0,2.0,10.1,3418296320,43.6,1747368551.975069
1.0,2.0,1.0,9.1,3418296320,43.6,1747368552.975987
5.1,2.0,0.0,11.8,3418025984,43.6,1747368553.976929
7.0,5.0,3.0,17.2,3418529792,43.6,1747368554.977961
2.0,3.0,5.1,9.1,3419045888,43.6,1747368555.979064
7.0,1.0,2.0,13.1,3418800128,43.6,1747368556.980069
1.0,3.0,11.0,1.0,3418800128,43.6,1747368557.980988
2.0,1.0,16.0,2.0,3419029504,43.6,1747368558.981928
3.1,1.0,11.9,11.0,3418787840,43.6,1747368559.983686
5.1,18.0,4.0,11.9,3419303936,43.6,1747368560.984918
2.0,15.2,2.0,1.0,3419033600,43.6,1747368561.985933
2.0,11.9,5.1,2.0,3419029504,43.6,1747368562.987193
1.0,11.9,3.0,2.0,3419029504,43.6,1747368563.988148
5.0,13.4,5.0,0.0,3419299840,43.6,1747368564.989374
6.1,22.5,5.0,3.0,3419029504,43.6,1747368565.990592
5.0,17.0,5.1,5.1,3416440832,43.6,1747368566.991509
2.0,15.0,3.0,0.0,3416444928,43.6,1747368567.992426
3.0,14.1,1.0,1.0,3416444928,43.6,1747368568.993337
6.9,11.9,2.0,4.1,3418755072,43.6,1747368569.994312
14.0,15.3,10.2,6.0,3419017216,43.6,1747368570.99608
